priority_rank,new_food_slug,new_food_name_fr,new_food_name_en,new_food_preparation_state,status,custom_ref_value,category_code,notes
18,,,,,draft,phase2_pass3:18,,"wave=gos_wave01 resolve_existing row"
19,,,,,draft,phase2_pass3:19,,"wave=gos_wave01 resolve_existing row"
20,,,,,draft,phase2_pass3:20,,"wave=gos_wave01 resolve_existing row"
21,phase2-lentille-brune-cuite,"Lentille brune, cuite","Brown lentils, cooked",cooked,draft,phase2_pass3:21,legumineuses,"wave=gos_wave01 create_new_food row"
22,,,,,draft,phase2_pass3:22,,"wave=gos_wave01 resolve_existing row"
23,,,,,draft,phase2_pass3:23,,"wave=gos_wave01 resolve_existing row"
