priority_rank,food_id,fodmap_subtype,serving_g,low_max_g,moderate_max_g,source_slug,citation_ref,evidence_tier,confidence_score,valid_from,notes
30,,sorbitol,125.00,0.200000,0.500000,monash_app_v4_reference,monash_app_v4_sorbitol_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=polyol_wave01 rank=30 apple raw threshold"
31,,sorbitol,120.00,0.250000,0.600000,monash_app_v4_reference,monash_app_v4_sorbitol_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=polyol_wave01 rank=31 pear raw threshold"
32,,sorbitol,80.00,0.250000,0.600000,monash_app_v4_reference,monash_app_v4_sorbitol_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=polyol_wave01 rank=32 sweet cherry raw threshold"
33,,sorbitol,120.00,0.200000,0.500000,monash_app_v4_reference,monash_app_v4_sorbitol_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=polyol_wave01 rank=33 peach raw threshold"
35,,sorbitol,120.00,0.250000,0.600000,monash_app_v4_reference,monash_app_v4_sorbitol_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=polyol_wave01 rank=35 plum raw threshold"
36,,sorbitol,30.00,0.250000,0.600000,monash_app_v4_reference,monash_app_v4_sorbitol_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=polyol_wave01 rank=36 prune dried threshold"
