priority_rank,food_id,fodmap_subtype,serving_g,low_max_g,moderate_max_g,source_slug,citation_ref,evidence_tier,confidence_score,valid_from,notes
18,,gos,75.00,0.250000,0.500000,monash_app_v4_reference,monash_app_v4_gos_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=gos_wave01 rank=18 chickpea canned drained threshold"
19,,gos,100.00,0.300000,0.600000,monash_app_v4_reference,monash_app_v4_gos_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=gos_wave01 rank=19 green lentil cooked threshold"
20,,gos,100.00,0.250000,0.500000,monash_app_v4_reference,monash_app_v4_gos_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=gos_wave01 rank=20 red lentil cooked threshold"
21,,gos,100.00,0.300000,0.600000,monash_app_v4_reference,monash_app_v4_gos_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=gos_wave01 rank=21 brown lentil cooked threshold"
22,,gos,90.00,0.350000,0.700000,monash_app_v4_reference,monash_app_v4_gos_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=gos_wave01 rank=22 white bean cooked threshold"
23,,gos,90.00,0.350000,0.700000,monash_app_v4_reference,monash_app_v4_gos_thresholds_wave01,primary_lab,0.900,2026-02-17,"wave=gos_wave01 rank=23 kidney bean cooked threshold"
