priority_rank,new_food_slug,new_food_name_fr,new_food_name_en,new_food_preparation_state,status,custom_ref_value,notes
11,,,,,draft,phase2_pass3:11,wave=fructan_wave02 pass3 candidate for farine de ble Type T55
12,,,,,draft,phase2_pass3:12,wave=fructan_wave02 pass3 candidate for farine de ble Type T65
13,,,,,draft,phase2_pass3:13,wave=fructan_wave02 pass3 candidate for farine de ble Type T80
16,,,,,draft,phase2_pass3:16,wave=fructan_wave02 pass3 candidate for artichaut globe heart
17,,,,,draft,phase2_pass3:17,wave=fructan_wave02 pass3 candidate for racine de chicoree root
